Time stamp, X, Y, Z
09:09:30, 502.28877738, 359.71007239, 652.20956757
09:09:30, 478.18178988, 373.45950207, 659.92995738
09:09:31, 481.90502933, 369.93949327, 660.91146978
09:09:31, 480.8478954, 373.25122058, 669.91159344
09:09:31, 479.93467421, 380.1915733, 664.87809159
09:09:31, 481.20491225, 370.83341036, 659.64691085
09:09:31, 471.20207538, 373.31693511, 666.42209256
09:09:31, 473.62229552, 377.94667988, 665.08346344
09:09:31, 471.88026159, 376.39799521, 662.01986709
09:09:31, 469.25300611, 376.34541226, 663.02386726
09:09:31, 471.53437311, 379.03069586, 670.94710506
09:09:31, 468.86312308, 377.43226464, 669.8956359
09:09:32, 467.74514782, 377.76472176, 669.01126068
09:09:32, 469.12366896, 376.16304051, 664.01518468
09:09:32, 462.11040822, 369.72908115, 662.12014694
09:09:32, 464.58152153, 365.98071149, 643.4185379
09:09:32, 463.41826066, 356.81532071, 640.61135597
09:09:32, 458.29637868, 365.99236152, 638.56568721
09:09:32, 464.46566015, 357.3685082, 633.18997123
09:09:32, 470.81234028, 357.85398156, 630.18752303
09:09:32, 482.72839641, 343.85018214, 610.77631161
09:09:33, 500.79370165, 327.76079127, 572.62866076
09:09:33, 501.0501771, 300.23612013, 557.86262579
